episode_id,time,agent_id,observation_shape,selected_action,target_node,reward_received
0,83,9,[7],4,20,-0.0
0,83,10,[7],1,0,-0.0
0,83,11,[7],2,6,-1.0
0,83,12,[7],0,12,-1.0
0,83,13,[7],3,18,-0.0
0,83,14,[7],4,20,-0.0
0,83,15,[7],3,10,-1.0
0,83,16,[7],1,1,-0.0
0,83,17,[7],0,17,-0.0
0,83,18,[7],3,13,-0.0
0,83,19,[7],0,19,-0.0
0,84,0,[7],0,0,-0.0
0,84,1,[7],0,1,-0.0
0,84,2,[7],4,20,-0.0
0,84,3,[7],0,3,-0.0
0,84,4,[7],4,20,-0.07500000298023224
0,84,5,[7],1,0,-1.0
0,84,6,[7],2,11,-1.0
0,84,7,[7],4,20,-0.0
0,84,8,[7],2,13,-0.0
0,84,9,[7],1,4,-0.0
0,84,10,[7],0,10,-1.0
0,84,11,[7],4,20,-1.0
0,84,12,[7],0,12,-0.05000000074505806
0,84,13,[7],3,18,-0.0
0,84,14,[7],4,20,-0.0
0,84,15,[7],3,10,-0.0
0,84,16,[7],0,16,-0.0
0,84,17,[7],3,12,-0.05000000074505806
0,84,18,[7],0,18,-0.20000000298023224
0,84,19,[7],2,9,-0.0
0,85,0,[7],1,5,-1.0
0,85,1,[7],4,20,-0.07500000298023224
0,85,2,[7],1,7,-0.10000000149011612
0,85,3,[7],3,18,-0.07500000298023224
0,85,4,[7],4,20,-0.0
0,85,5,[7],0,5,-0.0
0,85,6,[7],3,16,-0.0
0,85,7,[7],4,20,-1.0
0,85,8,[7],1,3,-0.22499999403953552
0,85,9,[7],0,9,-1.0
0,85,10,[7],3,15,-1.0
0,85,11,[7],4,20,-0.20000000298023224
0,85,12,[7],4,20,-0.0
0,85,13,[7],1,3,-0.0
0,85,14,[7],4,20,-0.0
0,85,15,[7],0,15,-1.0
0,85,16,[7],3,11,-1.0
0,85,17,[7],4,20,-0.0
0,85,18,[7],3,13,-0.0
0,85,19,[7],0,19,-0.07500000298023224
0,86,0,[7],3,15,-0.0
0,86,1,[7],3,16,-0.0
0,86,2,[7],4,20,-1.0750000476837158
0,86,3,[7],4,20,-0.0
0,86,4,[7],3,19,-0.2750000059604645
0,86,5,[7],3,15,-1.0499999523162842
0,86,6,[7],0,6,-0.0
0,86,7,[7],2,12,-1.0
0,86,8,[7],3,18,-0.0
0,86,9,[7],1,4,-0.0
0,86,10,[7],1,0,-0.07500000298023224
0,86,11,[7],3,16,-0.0
0,86,12,[7],4,20,-0.07500000298023224
0,86,13,[7],2,8,-0.0
0,86,14,[7],1,4,-1.0
0,86,15,[7],1,0,-0.0
0,86,16,[7],2,6,-1.0750000476837158
0,86,17,[7],1,2,-0.0
0,86,18,[7],2,8,-0.07500000298023224
0,86,19,[7],4,20,-0.0
0,87,0,[7],3,15,-0.0
0,87,1,[7],0,1,-1.0
0,87,2,[7],2,12,-0.0
0,87,3,[7],4,20,-0.10000000149011612
0,87,4,[7],1,9,-0.0
0,87,5,[7],4,20,-0.0
0,87,6,[7],1,1,-0.05000000074505806
0,87,7,[7],1,2,-1.0
0,87,8,[7],4,20,-0.0
0,87,9,[7],0,9,-0.07500000298023224
0,87,10,[7],0,10,-0.0
0,87,11,[7],4,20,-0.07500000298023224
0,87,12,[7],2,7,-1.0
0,87,13,[7],1,3,-0.0
0,87,14,[7],0,14,-1.0
0,87,15,[7],0,15,-0.07500000298023224
